Date,Time,Azimuth (degrees),Altitude (degrees)
2025/01/01,12:00:00,107.35322638323329,39.17781683674369
2025/01/02,12:00:00,106.79143399386795,39.24578737977067
2025/01/03,12:00:00,106.22571909989878,39.32049083117311
2025/01/04,12:00:00,105.65622014828786,39.40195010528618
2025/01/05,12:00:00,105.0830744207653,39.49019497254048
2025/01/06,12:00:00,104.5064176132851,39.58526136871396
2025/01/07,12:00:00,103.92638347721389,39.68719054454841
2025/01/08,12:00:00,103.34310327303182,39.79602777836599
2025/01/09,12:00:00,102.75670509999735,39.91182178410006
2025/01/10,12:00:00,102.16731290700322,40.03462450527481
2025/01/11,12:00:00,101.57504514849913,40.16449103698902
2025/01/12,12:00:00,100.980013409009,40.301480399222534
2025/01/13,12:00:00,100.38232121590777,40.44565646027549
2025/01/14,12:00:00,99.78206341244629,40.59708884873621
2025/01/15,12:00:00,99.17932643758196,40.75585478090296
2025/01/16,12:00:00,98.57418925819813,40.9220410451052
2025/01/17,12:00:00,97.96672453959641,41.095745729144625
2025/01/18,12:00:00,97.35699966062974,41.27707965044702
2025/01/19,12:00:00,96.74507732699722,41.46616756802202
2025/01/20,12:00:00,96.13101577027024,41.66314975554585
2025/01/21,12:00:00,95.51486847602642,41.86818278561501
2025/01/22,12:00:00,94.89668369941099,42.08144046672025
2025/01/23,12:00:00,94.27650390162167,42.30311487429702
2025/01/24,12:00:00,93.65436523184329,42.5334175863103
2025/01/25,12:00:00,93.0302970993285,42.77258071339608
2025/01/26,12:00:00,92.40432190678392,43.020859058181465
2025/01/27,12:00:00,91.77645474133186,43.27853249563431
2025/01/28,12:00:00,91.14670277977056,43.54590794708669
2025/01/29,12:00:00,90.51506417547108,43.823322587964036
2025/01/30,12:00:00,89.88152613999863,44.11114549688822
2025/01/31,12:00:00,89.24606233434925,44.40977879094982
2025/02/01,12:00:00,88.608629838827,44.719658419325384
2025/02/02,12:00:00,87.96916601819025,45.041253317280486
2025/02/03,12:00:00,87.32758539996489,45.37506345234492
2025/02/04,12:00:00,86.68377635711794,45.72161773035929
2025/02/05,12:00:00,86.03759729176838,46.0814720637352
2025/02/06,12:00:00,85.38887216963768,46.45520748791071
2025/02/07,12:00:00,84.73738539648284,46.84342865300392
2025/02/08,12:00:00,84.08287610271798,47.24676280010688
2025/02/09,12:00:00,83.42503195083991,47.66585894333177
2025/02/10,12:00:00,82.7634825164214,48.1013875536539
2025/02/11,12:00:00,82.09779231923403,48.55404041766706
2025/02/12,12:00:00,81.42745364263011,49.02452970180141
2025/02/13,12:00:00,80.7518787709539,49.513587762350824
2025/02/14,12:00:00,80.0703912762932,50.02196725209181
2025/02/15,12:00:00,79.38221604130075,50.55044023324165
2025/02/16,12:00:00,78.68646750700835,51.09979618084601
2025/02/17,12:00:00,77.98213544692855,51.67083953587496
2025/02/18,12:00:00,77.26806772572044,52.2643866541592
2025/02/19,12:00:00,76.54294988415326,52.88126085387072
2025/02/20,12:00:00,75.80528069618845,53.522286878211595
