Date,Time,Azimuth (degrees),Altitude (degrees)
2025/01/01,12:00:00,222.29312366324868,59.487755501065045
2025/01/02,12:00:00,221.44379095951047,59.609119430536836
2025/01/03,12:00:00,220.56889788477267,59.75055751095215
2025/01/04,12:00:00,219.6709700922632,59.91067228466588
2025/01/05,12:00:00,218.75203676283508,60.08826605381695
2025/01/06,12:00:00,217.81368950678413,60.28231436403683
2025/01/07,12:00:00,216.85713093342352,60.49194215068308
2025/01/08,12:00:00,215.88321411828542,60.71640279064262
2025/01/09,12:00:00,214.89247576305638,60.95505927088912
2025/01/10,12:00:00,213.88516346077915,61.20736751707264
2025/01/11,12:00:00,212.861257127638,61.4728617505526
2025/01/12,12:00:00,211.82048590472345,61.7511410875489
2025/01/13,12:00:00,210.76233962237197,62.041857390969795
2025/01/14,12:00:00,209.68607483536601,62.34470408406962
2025/01/15,12:00:00,208.59071756472284,62.65940523626971
2025/01/16,12:00:00,207.4750623978269,62.98570529742253
2025/01/17,12:00:00,206.3376679641915,63.323359645709324
2025/01/18,12:00:00,205.17684913394922,63.67212583723745
2025/01/19,12:00:00,203.99066622955363,64.03175530052442
2025/01/20,12:00:00,202.776912337827,64.40198498273467
2025/01/21,12:00:00,201.5330964935529,64.78252918597418
2025/01/22,12:00:00,200.25642427968552,65.17307094736807
2025/01/23,12:00:00,198.94377565146496,65.57325282763692
2025/01/24,12:00:00,197.5916801541698,65.98266693518819
2025/01/25,12:00:00,196.196288660284,66.40084419027576
2025/01/26,12:00:00,194.75334460898503,66.82724231170046
2025/01/27,12:00:00,193.25815335913944,67.2612327621582
2025/01/28,12:00:00,191.7055489000066,67.70208659839963
2025/01/29,12:00:00,190.08986305974847,68.14895852113872
2025/01/30,12:00:00,188.40489311501875,68.600869304998
2025/01/31,12:00:00,186.64387365711258,69.05668569947082
2025/02/01,12:00:00,184.7994585048214,69.51509741816074
2025/02/02,12:00:00,182.86371609866623,69.9745914283456
2025/02/04,12:00:00,178.68373837352974,70.88959033802678
2025/02/05,12:00:00,176.4210587191417,71.34079556480688
2025/02/06,12:00:00,174.03042199238703,71.78442382185594
2025/02/07,12:00:00,171.50212442096733,72.21751196932684
2025/02/08,12:00:00,168.826784141082,72.63672836330814
2025/02/09,12:00:00,165.99580457067302,73.03836155914807
2025/02/10,12:00:00,163.00198000197048,73.4183207199914
2025/02/11,12:00:00,159.84022299706706,73.77215560084807
2025/02/12,12:00:00,156.50841168012892,74.09511316389747
2025/02/13,12:00:00,153.00834664763255,74.38223085213889
2025/02/14,12:00:00,149.34670776479612,74.62847064110372
2025/02/15,12:00:00,145.53587893232398,74.82890202125455
2025/02/16,12:00:00,141.59448709492187,74.97893248063043
2025/02/17,12:00:00,137.5474877833656,75.07457620455203
2025/02/18,12:00:00,133.42565535487478,75.11274327370174
2025/02/19,12:00:00,129.26441308965246,75.09152337523403
2025/02/20,12:00:00,125.10206691532655,75.01043599906762
2025/02/21,12:00:00,120.97763211919322,74.87062001991703
2025/02/22,12:00:00,116.92854127424606,74.67494316530566
2025/02/23,12:00:00,112.98855333691195,74.42802471011039
2025/02/24,12:00:00,109.1861297764444,74.13617656862442
2025/02/25,12:00:00,105.54343161956275,73.80727739269413
2025/02/26,12:00:00,102.07595933012446,73.45059842876881
2025/02/27,12:00:00,98.7927468502993,73.07659870007556
2025/02/28,12:00:00,95.696956784521,72.69670313360771
2025/03/01,12:00:00,92.78670679514057,72.32307196406789
2025/03/02,12:00:00,90.05597579359686,71.96836545363003
2025/03/03,12:00:00,87.4954747470772,71.64550571719029
2025/03/04,12:00:00,85.09340632586688,71.36743751095445
2025/03/05,12:00:00,82.83607128608521,71.14689065437618
2025/03/06,12:00:00,80.70830353851339,70.99614733101512
2025/03/07,12:00:00,78.69372859831513,70.92681796102735
2025/03/08,12:00:00,76.77484238126809,70.949628173978
2025/03/09,12:00:00,74.93290098654397,71.07421715471253
2025/03/10,12:00:00,73.14759783683492,71.30894486110152
2025/03/11,12:00:00,71.39648140105606,71.66070224274466
2025/03/12,12:00:00,69.6540298686141,72.13471587443475
2025/03/13,12:00:00,67.89023933403314,72.7343362661477
2025/03/14,12:00:00,66.06848204854604,73.46079668212056
2025/03/15,12:00:00,64.14221700092449,74.31292557622567
2025/03/16,12:00:00,62.049821567016565,75.28678666909276
2025/03/17,12:00:00,59.706229970423095,76.37519883046927
2025/03/18,12:00:00,56.98894685488091,77.56703776802976
2025/03/19,12:00:00,53.713819601904646,78.84610801443263
2025/03/20,12:00:00,49.59171986968478,80.18911526742411
2025/03/21,12:00:00,44.14987235713693,81.56167731716052
2025/03/22,12:00:00,36.5946766492909,82.90999790712816
2025/03/23,12:00:00,25.62995605007187,84.14354612870254
2025/03/24,12:00:00,9.566746629292213,85.10551670454242
2025/03/24,12:00:00,9.566746629292213,85.10551670454242
2025/03/25,12:00:00,348.0774934281489,85.56456788141665
